Nama,Harga,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Jumlah Carport,Luas Tanah,Luas Bangunan
"Rumah di Perum Bukit Wahid , Semarang ( Tt 8443 )","Rp 2,85 Miliar","Semarang Barat, Semarang",4,2,1,LT : 148 m²,LB : 200 m²
"Rumah di Perum Graha Padma , Semarang ( Ls 7995 )","Rp 1,5 Miliar","Semarang Barat, Semarang",3,1,0,LT : 120 m²,LB : 120 m²
"Rumah di Perum Graha Padma , Semarang (Si 8382 )","Rp 1,1 Miliar","Semarang Barat, Semarang",2,1,2,LT : 90 m²,LB : 90 m²
Rumah di Bukit Wahid Regency,"Rp 3,7 Miliar","Semarang Barat, Semarang",5,3,0,LT : 144 m²,LB : 222 m²
Rumah Bagus di Puri Anjasmoro De 6958,"Rp 1,1 Miliar","Semarang Barat, Semarang",3,2,1,LT : 126 m²,LB : 126 m²
,Rp 375 Juta - 430 Juta,,0,0,0,,
,Rp 483 Juta - 530 Juta,,0,0,0,,
,"Rp 1,1 Miliar - 2,4 Miliar",,0,0,0,,
"Rumah di Puri Mediterania , Semarang ( Vn 8332 )",Rp 4 Miliar,"Semarang Barat, Semarang",3,3,2,LT : 368 m²,LB : 250 m²
"Rumah Semarang Indah , Semarang ( De 7775)","Rp 1,4 Miliar","Semarang Barat, Semarang",2,1,4,LT : 240 m²,LB : 220 m²
"Rumah di Sri Rejeki , Semarang Barat ( Si 3504 )","Rp 1,35 Miliar","Semarang Barat, Semarang",4,2,1,LT : 241 m²,LB : 200 m²
Rumah di Daerah Semarang Barat Vn 7331,"Rp 1,9 Miliar","Semarang Barat, Semarang",4,2,0,LT : 230 m²,LB : 194 m²
Rumah Mewah dan Besar di Sawunggaling Banyumanik,"Rp 5,3 Miliar","Banyumanik, Semarang",5,5,2,LT : 300 m²,LB : 600 m²
Rumah mewah 2 lantai semi furnished di Bukit Wahid Semarang,"Rp 6,9 Miliar","Semarang Barat, Semarang",4,3,2,LT : 542 m²,LB : 335 m²
Rumah dan Tempat Usaha Lokasi Strategis Tengah Kota Semarang,Rp 22 Miliar,"Semarang Tengah, Semarang",3,2,20,LT : 1000 m²,LB : 500 m²
Rumah Mewah Di Puri Arga Golf Bsb Full Furnished Ada Kolam Renang,Rp 21 Miliar,"BSB City, Semarang",6,7,2,LT : 600 m²,LB : 900 m²
Rumah di Permata Garden Mangunharjo Tembalang Kondisi Baru Murah,Rp 450 Juta,"Tembalang, Semarang",2,1,1,LT : 60 m²,LB : 29 m²
Bawah Harga Appraisal Bank Rumah Dekat The Park Mall di Amarta,"Rp 2,8 Miliar","Semarang Barat, Semarang",5,3,1,LT : 231 m²,LB : 400 m²
Rumah Kawasan Elit di Graha Padma Semarang,"Rp 3,9 Miliar","Semarang Barat, Semarang",3,3,1,LT : 300 m²,LB : 180 m²
"Rumah di Daerah Borobudur Manyaran , Semarang ( Me 8024 )",Rp 450 Juta,"Semarang Barat, Semarang",2,1,1,LT : 74 m²,LB : 42 m²
"Rumah Murah+ View di Daerah Simongan, Semarang Wn 7159","Rp 1,2 Miliar","Semarang Barat, Semarang",4,2,2,LT : 234 m²,LB : 120 m²
Rumah 2 Lanti di Permata Puri Ngaliyan Semarang,Rp 287 Miliar,"Ngaliyan, Semarang",4,4,1,LT : 290 m²,LB : 380 m²
"Rumah di Victoria Valley , Bsb City Semarang ( Me 7639 )","Rp 3,7 Miliar","BSB City, Semarang",4,3,2,LT : 180 m²,LB : 200 m²
rumah tengah kota pleburan,"Rp 4,5 Miliar","Pleburan, Semarang",9,5,1,LT : 198 m²,LB : 300 m²
Rumah di Bukit Wahid Regency,"Rp 3,7 Miliar","Semarang Barat, Semarang",5,3,0,LT : 144 m²,LB : 222 m²
Rumah 2 Lantai One Gate System di Bale Nirvana Ngaliyan,"Rp 1,6 Miliar","Ngaliyan, Semarang",4,3,1,LT : 150 m²,LB : 65 m²
Rumah Tingkat dengan Basement di Gombel Permai Raya,"Rp 6,2 Miliar","Banyumanik, Semarang",5,4,4,LT : 430 m²,LB : 400 m²
"Dijual Rumah Mewah Siap Huni Dekat Simpang Lima di A. Yani, Semarang",Rp 65 Miliar,"Pleburan, Semarang",7,4,1,LT : 1240 m²,LB : 840 m²
Rumah Dekat Kampus Unnes Mangunsari Gunungpati Semarang,Rp 630 Juta,"Banyumanik, Semarang",3,2,1,LT : 121 m²,LB : 90 m²
"Rumah Modern Tropical Homes dengan View Pegunungan, Sejuk Asri. Cocok untuk Kamu dan Keluarga",Rp 560 Juta,"Semarang Selatan, Semarang",2,1,1,LT : 78 m²,LB : 43 m²
Rumah Dua Lantai Mewah Furnish Siap Huni di Bsb Mijen A4998,Rp 21 Miliar,"Mijen, Semarang",6,6,4,LT : 600 m²,LB : 900 m²
"Rumah di Daerah Sambiroto Tembalang , Semarang ( Wn 8442 )",Rp 700 Juta,"Tembalang, Semarang",2,1,1,LT : 93 m²,LB : 80 m²
"Rumah kost 2 Lantai ring 1undip,polines,poltekes, unpand Tembalang Semarang","Rp 3,1 Miliar","Tembalang, Semarang",16,16,2,LT : 210 m²,LB : 250 m²
Rumah di Telaga Bodas Semarang,Rp 8 Miliar,"Gajah Mungkur, Semarang",4,6,2,LT : 707 m²,LB : 500 m²
Rumah Baru Dijual SHM Hak Milik Jl Raya Klipang Sendangmulyo Kec Tembalang Semarang Timur,Rp 425 Juta,"Sendangmulyo, Semarang",2,1,1,LT : 75 m²,LB : 40 m²
"Rumah di Kanfer Raya , Dekat Undip Siap untuk Cafe,Bakery,Kantor","Rp 3,2 Miliar","Banyumanik, Semarang",4,3,2,LT : 176 m²,LB : 270 m²
